"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 00:00 - 06/11/2025 01:00","104.47",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 01:00 - 06/11/2025 02:00","104.55",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 02:00 - 06/11/2025 03:00","104.60",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 03:00 - 06/11/2025 04:00","104.60",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 04:00 - 06/11/2025 05:00","114.72",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 05:00 - 06/11/2025 06:00","152.93",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 06:00 - 06/11/2025 07:00","231.30",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 07:00 - 06/11/2025 08:00","232.30",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 08:00 - 06/11/2025 09:00","230.30",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 09:00 - 06/11/2025 10:00","136.97",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 10:00 - 06/11/2025 11:00","136.60",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 11:00 - 06/11/2025 12:00","136.78",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 12:00 - 06/11/2025 13:00","136.60",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 13:00 - 06/11/2025 14:00","136.68",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 14:00 - 06/11/2025 15:00","136.68",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 15:00 - 06/11/2025 16:00","145.78",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 16:00 - 06/11/2025 17:00","201.20",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 17:00 - 06/11/2025 18:00","200.63",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 18:00 - 06/11/2025 19:00","200.65",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 19:00 - 06/11/2025 20:00","200.70",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 20:00 - 06/11/2025 21:00","200.22",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 21:00 - 06/11/2025 22:00","148.60",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 22:00 - 06/11/2025 23:00","135.18",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","06/11/2025 23:00 - 07/11/2025 00:00","106.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","06/11/2025 00:00 - 06/11/2025 01:00","180.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","06/11/2025 01:00 - 06/11/2025 02:00","180.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","06/11/2025 02:00 - 06/11/2025 03:00","180.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","06/11/2025 03:00 - 06/11/2025 04:00","180.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","06/11/2025 04:00 - 06/11/2025 05:00","181.25",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","06/11/2025 05:00 - 06/11/2025 06:00","200.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","06/11/2025 06:00 - 06/11/2025 07:00","229.25",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","06/11/2025 07:00 - 06/11/2025 08:00","230.00",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","06/11/2025 08:00 - 06/11/2025 09:00","244.75",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","06/11/2025 09:00 - 06/11/2025 10:00","246.50",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","06/11/2025 10:00 - 06/11/2025 11:00","244.75",""
"06/11/2025 00:00 - 07/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","06/11/2025 11:00 - 06/11/2025 12:00","239.25",""
