"Time Interval (CET/CEST)","Area","Unit Name","Unit Code","Type","Instance Code","MTU (CET/CEST)","Generation (MW)","Consumption (MW)"
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 00:00 - 08/11/2025 01:00","155.30",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 01:00 - 08/11/2025 02:00","155.28",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 02:00 - 08/11/2025 03:00","155.28",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 03:00 - 08/11/2025 04:00","155.28",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 04:00 - 08/11/2025 05:00","156.90",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 05:00 - 08/11/2025 06:00","230.30",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 06:00 - 08/11/2025 07:00","235.75",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 07:00 - 08/11/2025 08:00","237.35",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 08:00 - 08/11/2025 09:00","237.55",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 09:00 - 08/11/2025 10:00","237.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 10:00 - 08/11/2025 11:00","235.38",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 11:00 - 08/11/2025 12:00","195.28",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 12:00 - 08/11/2025 13:00","194.97",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 13:00 - 08/11/2025 14:00","175.15",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 14:00 - 08/11/2025 15:00","189.78",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 15:00 - 08/11/2025 16:00","233.20",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 16:00 - 08/11/2025 17:00","233.88",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 17:00 - 08/11/2025 18:00","234.95",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 18:00 - 08/11/2025 19:00","235.78",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 19:00 - 08/11/2025 20:00","236.28",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 20:00 - 08/11/2025 21:00","236.88",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 21:00 - 08/11/2025 22:00","237.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 22:00 - 08/11/2025 23:00","191.13",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GTHKW Nossener Bruecke","11WD8DRES5X----D","Fossil Gas","11WD8DRES5X----D","08/11/2025 23:00 - 09/11/2025 00:00","158.50",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 00:00 - 08/11/2025 01:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 01:00 - 08/11/2025 02:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 02:00 - 08/11/2025 03:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 03:00 - 08/11/2025 04:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 04:00 - 08/11/2025 05:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 05:00 - 08/11/2025 06:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 06:00 - 08/11/2025 07:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 07:00 - 08/11/2025 08:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 08:00 - 08/11/2025 09:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 09:00 - 08/11/2025 10:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 10:00 - 08/11/2025 11:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 11:00 - 08/11/2025 12:00","245.00",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 12:00 - 08/11/2025 13:00","235.50",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 13:00 - 08/11/2025 14:00","243.50",""
"08/11/2025 00:00 - 09/11/2025 00:00","","GuD Marzahn","11W0-0000-0104-6","Fossil Gas","11W0-0000-0104-6","08/11/2025 14:00 - 08/11/2025 15:00","245.00",""
