"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","BZN|DE-LU","Sequence 1","63.64","",""
"01/01/2026 00:00:00 - 01/01/2026 00:15:00","BZN|DE-LU","Sequence 2","51.28","",""
"01/01/2026 00:15:00 - 01/01/2026 00:30:00","BZN|DE-LU","Sequence 1","61.48","",""
"01/01/2026 00:15:00 - 01/01/2026 00:30:00","BZN|DE-LU","Sequence 2","52.08","",""
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","BZN|DE-LU","Sequence 1","58.00","",""
"01/01/2026 00:30:00 - 01/01/2026 00:45:00","BZN|DE-LU","Sequence 2","63.00","",""
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","BZN|DE-LU","Sequence 1","49.99","",""
"01/01/2026 00:45:00 - 01/01/2026 01:00:00","BZN|DE-LU","Sequence 2","41.08","",""
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","BZN|DE-LU","Sequence 1","60.01","",""
"01/01/2026 01:00:00 - 01/01/2026 01:15:00","BZN|DE-LU","Sequence 2","37.07","",""
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","BZN|DE-LU","Sequence 1","48.90","",""
"01/01/2026 01:15:00 - 01/01/2026 01:30:00","BZN|DE-LU","Sequence 2","40.03","",""
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","BZN|DE-LU","Sequence 1","36.74","",""
"01/01/2026 01:30:00 - 01/01/2026 01:45:00","BZN|DE-LU","Sequence 2","36.01","",""
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","BZN|DE-LU","Sequence 1","23.93","",""
"01/01/2026 01:45:00 - 01/01/2026 02:00:00","BZN|DE-LU","Sequence 2","25.20","",""
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","BZN|DE-LU","Sequence 1","36.01","",""
"01/01/2026 02:00:00 - 01/01/2026 02:15:00","BZN|DE-LU","Sequence 2","34.03","",""
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","BZN|DE-LU","Sequence 1","19.92","",""
"01/01/2026 02:15:00 - 01/01/2026 02:30:00","BZN|DE-LU","Sequence 2","21.83","",""
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","BZN|DE-LU","Sequence 1","14.99","",""
"01/01/2026 02:30:00 - 01/01/2026 02:45:00","BZN|DE-LU","Sequence 2","13.05","",""
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","BZN|DE-LU","Sequence 1","7.36","",""
"01/01/2026 02:45:00 - 01/01/2026 03:00:00","BZN|DE-LU","Sequence 2","11.06","",""
"01/01/2026 03:00:00 - 01/01/2026 03:15:00","BZN|DE-LU","Sequence 1","10.08","",""
"01/01/2026 03:00:00 - 01/01/2026 03:15:00","BZN|DE-LU","Sequence 2","16.60","",""
"01/01/2026 03:15:00 - 01/01/2026 03:30:00","BZN|DE-LU","Sequence 1","6.69","",""
"01/01/2026 03:15:00 - 01/01/2026 03:30:00","BZN|DE-LU","Sequence 2","10.00","",""
"01/01/2026 03:30:00 - 01/01/2026 03:45:00","BZN|DE-LU","Sequence 1","4.50","",""
"01/01/2026 03:30:00 - 01/01/2026 03:45:00","BZN|DE-LU","Sequence 2","9.99","",""
"01/01/2026 03:45:00 - 01/01/2026 04:00:00","BZN|DE-LU","Sequence 1","3.87","",""
